ID,Статус,Сообщение
60312259,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60312061,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60311722,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60298697,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60309910,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60292555,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60292539,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60291779,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60287227,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60286649,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60283536,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60283295,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60283013,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60281472,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60281191,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60281009,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60280535,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60280306,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
59166664,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60278818,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60274284,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60277673,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60274851,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60268719,ответил,ВЫ НАПИСАЛИ КЛИЕНТУ
60268669,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60268302,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60105604,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60264348,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
